run:
Valor da solucao inicial: 10004.0
Valor da solucao final: 4033.0
Iteracoes: 73
Revisitacoes evitadas: 205
Tempo gasto (segundos): 0.276
Iteracao: 0 melhor solucao: 6882.0
Iteracao: 1 melhor solucao: 6882.0
Iteracao: 2 melhor solucao: 6445.0
Iteracao: 3 melhor solucao: 4882.0
Iteracao: 4 melhor solucao: 4869.0
Iteracao: 5 melhor solucao: 4869.0
Iteracao: 6 melhor solucao: 4785.0
Iteracao: 7 melhor solucao: 4485.0
Iteracao: 8 melhor solucao: 4485.0
Iteracao: 9 melhor solucao: 4485.0
Iteracao: 10 melhor solucao: 4485.0
Iteracao: 11 melhor solucao: 4379.0
Iteracao: 12 melhor solucao: 4379.0
Iteracao: 13 melhor solucao: 4379.0
Iteracao: 14 melhor solucao: 4379.0
Iteracao: 15 melhor solucao: 4379.0
Iteracao: 16 melhor solucao: 4224.0
Iteracao: 17 melhor solucao: 4224.0
Iteracao: 18 melhor solucao: 4215.0
Iteracao: 19 melhor solucao: 4215.0
Iteracao: 20 melhor solucao: 4204.0
Iteracao: 21 melhor solucao: 4204.0
Iteracao: 22 melhor solucao: 4204.0
Iteracao: 23 melhor solucao: 4204.0
Iteracao: 24 melhor solucao: 4204.0
Iteracao: 25 melhor solucao: 4200.0
Iteracao: 26 melhor solucao: 4114.0
Iteracao: 27 melhor solucao: 4114.0
Iteracao: 28 melhor solucao: 4114.0
Iteracao: 29 melhor solucao: 4114.0
Iteracao: 30 melhor solucao: 4114.0
Iteracao: 31 melhor solucao: 4114.0
Iteracao: 32 melhor solucao: 4114.0
Iteracao: 33 melhor solucao: 4068.0
Iteracao: 34 melhor solucao: 4068.0
Iteracao: 35 melhor solucao: 4062.0
Iteracao: 36 melhor solucao: 4062.0
Iteracao: 37 melhor solucao: 4062.0
Iteracao: 38 melhor solucao: 4062.0
Iteracao: 39 melhor solucao: 4062.0
Iteracao: 40 melhor solucao: 4062.0
Iteracao: 41 melhor solucao: 4062.0
Iteracao: 42 melhor solucao: 4062.0
Iteracao: 43 melhor solucao: 4062.0
Iteracao: 44 melhor solucao: 4062.0
Iteracao: 45 melhor solucao: 4062.0
Iteracao: 46 melhor solucao: 4038.0
Iteracao: 47 melhor solucao: 4038.0
Iteracao: 48 melhor solucao: 4038.0
Iteracao: 49 melhor solucao: 4038.0
Iteracao: 50 melhor solucao: 4038.0
Iteracao: 51 melhor solucao: 4038.0
Iteracao: 52 melhor solucao: 4038.0
Iteracao: 53 melhor solucao: 4038.0
Iteracao: 54 melhor solucao: 4038.0
Iteracao: 55 melhor solucao: 4038.0
Iteracao: 56 melhor solucao: 4038.0
Iteracao: 57 melhor solucao: 4038.0
Iteracao: 58 melhor solucao: 4033.0
Iteracao: 59 melhor solucao: 4033.0
Iteracao: 60 melhor solucao: 4033.0
Iteracao: 61 melhor solucao: 4033.0
Iteracao: 62 melhor solucao: 4033.0
Iteracao: 63 melhor solucao: 4033.0
Iteracao: 64 melhor solucao: 4033.0
Iteracao: 65 melhor solucao: 4033.0
Iteracao: 66 melhor solucao: 4033.0
Iteracao: 67 melhor solucao: 4033.0
Iteracao: 68 melhor solucao: 4033.0
Iteracao: 69 melhor solucao: 4033.0
Iteracao: 70 melhor solucao: 4033.0
Iteracao: 71 melhor solucao: 4033.0
Iteracao: 72 melhor solucao: 4033.0
BUILD SUCCESSFUL (total time: 10 seconds)
