run:
Valor da solucao inicial: 6619.0
Valor da solucao final: 3387.0
Iteracoes: 80
Revisitacoes evitadas: 214
Tempo gasto (segundos): 0.21
Iteracao: 0 melhor solucao: 5298.0
Iteracao: 1 melhor solucao: 5110.0
Iteracao: 2 melhor solucao: 5110.0
Iteracao: 3 melhor solucao: 4976.0
Iteracao: 4 melhor solucao: 4195.0
Iteracao: 5 melhor solucao: 4102.0
Iteracao: 6 melhor solucao: 4063.0
Iteracao: 7 melhor solucao: 3778.0
Iteracao: 8 melhor solucao: 3778.0
Iteracao: 9 melhor solucao: 3701.0
Iteracao: 10 melhor solucao: 3701.0
Iteracao: 11 melhor solucao: 3667.0
Iteracao: 12 melhor solucao: 3667.0
Iteracao: 13 melhor solucao: 3667.0
Iteracao: 14 melhor solucao: 3667.0
Iteracao: 15 melhor solucao: 3667.0
Iteracao: 16 melhor solucao: 3616.0
Iteracao: 17 melhor solucao: 3616.0
Iteracao: 18 melhor solucao: 3616.0
Iteracao: 19 melhor solucao: 3616.0
Iteracao: 20 melhor solucao: 3593.0
Iteracao: 21 melhor solucao: 3593.0
Iteracao: 22 melhor solucao: 3593.0
Iteracao: 23 melhor solucao: 3593.0
Iteracao: 24 melhor solucao: 3593.0
Iteracao: 25 melhor solucao: 3593.0
Iteracao: 26 melhor solucao: 3593.0
Iteracao: 27 melhor solucao: 3541.0
Iteracao: 28 melhor solucao: 3541.0
Iteracao: 29 melhor solucao: 3541.0
Iteracao: 30 melhor solucao: 3541.0
Iteracao: 31 melhor solucao: 3464.0
Iteracao: 32 melhor solucao: 3464.0
Iteracao: 33 melhor solucao: 3459.0
Iteracao: 34 melhor solucao: 3459.0
Iteracao: 35 melhor solucao: 3459.0
Iteracao: 36 melhor solucao: 3459.0
Iteracao: 37 melhor solucao: 3459.0
Iteracao: 38 melhor solucao: 3459.0
Iteracao: 39 melhor solucao: 3459.0
Iteracao: 40 melhor solucao: 3446.0
Iteracao: 41 melhor solucao: 3446.0
Iteracao: 42 melhor solucao: 3446.0
Iteracao: 43 melhor solucao: 3446.0
Iteracao: 44 melhor solucao: 3446.0
Iteracao: 45 melhor solucao: 3446.0
Iteracao: 46 melhor solucao: 3439.0
Iteracao: 47 melhor solucao: 3439.0
Iteracao: 48 melhor solucao: 3439.0
Iteracao: 49 melhor solucao: 3439.0
Iteracao: 50 melhor solucao: 3439.0
Iteracao: 51 melhor solucao: 3439.0
Iteracao: 52 melhor solucao: 3439.0
Iteracao: 53 melhor solucao: 3428.0
Iteracao: 54 melhor solucao: 3428.0
Iteracao: 55 melhor solucao: 3428.0
Iteracao: 56 melhor solucao: 3428.0
Iteracao: 57 melhor solucao: 3428.0
Iteracao: 58 melhor solucao: 3428.0
Iteracao: 59 melhor solucao: 3428.0
Iteracao: 60 melhor solucao: 3428.0
Iteracao: 61 melhor solucao: 3392.0
Iteracao: 62 melhor solucao: 3392.0
Iteracao: 63 melhor solucao: 3392.0
Iteracao: 64 melhor solucao: 3392.0
Iteracao: 65 melhor solucao: 3387.0
Iteracao: 66 melhor solucao: 3387.0
Iteracao: 67 melhor solucao: 3387.0
Iteracao: 68 melhor solucao: 3387.0
Iteracao: 69 melhor solucao: 3387.0
Iteracao: 70 melhor solucao: 3387.0
Iteracao: 71 melhor solucao: 3387.0
Iteracao: 72 melhor solucao: 3387.0
Iteracao: 73 melhor solucao: 3387.0
Iteracao: 74 melhor solucao: 3387.0
Iteracao: 75 melhor solucao: 3387.0
Iteracao: 76 melhor solucao: 3387.0
Iteracao: 77 melhor solucao: 3387.0
Iteracao: 78 melhor solucao: 3387.0
Iteracao: 79 melhor solucao: 3387.0
BUILD SUCCESSFUL (total time: 9 seconds)
