run:
Valor da solucao inicial: 11051.0
Valor da solucao final: 5350.0
Iteracoes: 55
Revisitacoes evitadas: 165
Tempo gasto (segundos): 0.185
Iteracao: 0 melhor solucao: 9223.0
Iteracao: 1 melhor solucao: 7753.0
Iteracao: 2 melhor solucao: 6993.0
Iteracao: 3 melhor solucao: 6942.0
Iteracao: 4 melhor solucao: 6942.0
Iteracao: 5 melhor solucao: 6856.0
Iteracao: 6 melhor solucao: 6856.0
Iteracao: 7 melhor solucao: 6489.0
Iteracao: 8 melhor solucao: 6485.0
Iteracao: 9 melhor solucao: 6118.0
Iteracao: 10 melhor solucao: 6097.0
Iteracao: 11 melhor solucao: 6011.0
Iteracao: 12 melhor solucao: 5907.0
Iteracao: 13 melhor solucao: 5750.0
Iteracao: 14 melhor solucao: 5750.0
Iteracao: 15 melhor solucao: 5750.0
Iteracao: 16 melhor solucao: 5750.0
Iteracao: 17 melhor solucao: 5750.0
Iteracao: 18 melhor solucao: 5750.0
Iteracao: 19 melhor solucao: 5750.0
Iteracao: 20 melhor solucao: 5750.0
Iteracao: 21 melhor solucao: 5750.0
Iteracao: 22 melhor solucao: 5628.0
Iteracao: 23 melhor solucao: 5601.0
Iteracao: 24 melhor solucao: 5601.0
Iteracao: 25 melhor solucao: 5601.0
Iteracao: 26 melhor solucao: 5601.0
Iteracao: 27 melhor solucao: 5601.0
Iteracao: 28 melhor solucao: 5601.0
Iteracao: 29 melhor solucao: 5581.0
Iteracao: 30 melhor solucao: 5581.0
Iteracao: 31 melhor solucao: 5543.0
Iteracao: 32 melhor solucao: 5450.0
Iteracao: 33 melhor solucao: 5450.0
Iteracao: 34 melhor solucao: 5433.0
Iteracao: 35 melhor solucao: 5433.0
Iteracao: 36 melhor solucao: 5433.0
Iteracao: 37 melhor solucao: 5433.0
Iteracao: 38 melhor solucao: 5433.0
Iteracao: 39 melhor solucao: 5433.0
Iteracao: 40 melhor solucao: 5350.0
Iteracao: 41 melhor solucao: 5350.0
Iteracao: 42 melhor solucao: 5350.0
Iteracao: 43 melhor solucao: 5350.0
Iteracao: 44 melhor solucao: 5350.0
Iteracao: 45 melhor solucao: 5350.0
Iteracao: 46 melhor solucao: 5350.0
Iteracao: 47 melhor solucao: 5350.0
Iteracao: 48 melhor solucao: 5350.0
Iteracao: 49 melhor solucao: 5350.0
Iteracao: 50 melhor solucao: 5350.0
Iteracao: 51 melhor solucao: 5350.0
Iteracao: 52 melhor solucao: 5350.0
Iteracao: 53 melhor solucao: 5350.0
Iteracao: 54 melhor solucao: 5350.0
BUILD SUCCESSFUL (total time: 11 seconds)
